territoryId;Name;Type;Controller;IPC;IsCapital;CapitalOf;VictoryCity;Map;MainCapital;Army (nutrales);Continent;Territories owner;Infantry;Artillery;Mechanized Infantry;Tank;AAA;Fighter;Tactical Bomber;Strategic Bomber;Battleship;Aircraft Carrier;Cruiser;Destroyer;Submarine;Transport;Minor Industrial Complex;Major Industrial Complex;Air Base;Naval Base;Globale Rules;Army in other terretory;startingUnits;adjacentterritory;capital;neutralType;originalOwner;neighbors
pacific-alaska;Alaska;Territory;USA;2;No;;No;Pacific;;;America;USA;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;Western Canada;1;2
pacific-western-canada;Western Canada;Territory;UK (Europe);1;No;;No;Pacific;;;America;UK (Europe);;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""UK (Europe)""}]";;"{""isCapital"": false, ""type"": ""none""}";none;UK (Europe);Alaska;Western United States (San Francisco);1
pacific-western-united-states-san-francisco;Western United States (San Francisco);Territory;USA;10;Yes;USA;Yes;Pacific;;;America;USA;2;1;1;;2;1;;;;;;;;;;1;1;1;;;"[{""nation"": ""USA"", ""infantry"": 2, ""artillery"": 1, ""mechanizedinfantry"": 1, ""aaa"": 2, ""fighter"": 1}]";;"{""isCapital"": true, ""type"": ""regional"", ""capitalOf"": ""USA""}";none;USA;Western Canada;Mexico;10;11
pacific-aleutian-islands;Aleutian Islands;Territory;USA;0;No;;No;Pacific;;;America;USA;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;Alaska;1;2;3
pacific-mexico;Mexico;Territory;USA;2;No;;No;Pacific;;;America;USA;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;Western United States (San Francisco);11
pacific-hawaiian-islands-honolulu;Hawaiian Islands (Honolulu);Territory;USA;3;Yes;;Yes;Pacific;;;America;USA;2;;;;;2;;;;;;;;;;;1;1;;;"[{""nation"": ""USA"", ""infantry"": 2, ""fighter"": 2}]";;"{""isCapital"": true, ""type"": ""regional""}";none;USA;26;27
pacific-midway;Midway;Territory;USA;0;No;;No;Pacific;;;America;USA;;;;;;;;;;;;;;;;;1;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;25;27
pacific-wake-island;Wake Island;Territory;USA;0;No;;No;Pacific;;;America;USA;;;;;;;;;;;;;;;;;1;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;23;24
pacific-johnston-island;Johnston Island;Territory;USA;0;No;;No;Pacific;;;America;USA;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;27;28
pacific-line-islands;Line Islands;Territory;USA;0;No;;No;Pacific;;;America;USA;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;28;29
pacific-guam;Guam;Territory;USA;0;No;;No;Pacific;;;America;USA;;;;;;;;;;;;;;;;;1;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;Carolines Islands;Marianas;21;22
pacific-philippine-islands-manilla;Philippine Islands (Manilla);Territory;USA;2;Yes;;Yes;Pacific;;;America;USA;2;;;;;1;;;;;;;;;;;1;1;;;"[{""nation"": ""USA"", ""infantry"": 2, ""fighter"": 1}]";;"{""isCapital"": true, ""type"": ""regional""}";none;USA;Formosa;French Indo China;Borneo;Paula island;20;35;36
europe-central-united-states;Central United States;Territory;USA;12;No;;No;Europe;;;America;USA;1;;3;1;;;1;;;;;;;;;1;;;;;"[{""nation"": ""USA"", ""infantry"": 1, ""mechanizedinfantry"": 3, ""tank"": 1, ""tacticalbomber"": 1}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;Eastern United States (Washington);Ontario (Ottawa);Alberta/Saskatchewan/Manitoba;101
europe-eastern-united-states-washington;Eastern United States (Washington);Territory;USA;20;Yes;USA;Yes;Europe;Yes;;America;USA;1;1;;;2;1;;;;;;;;;;1;1;1;;;"[{""nation"": ""USA"", ""infantry"": 1, ""artillery"": 1, ""aaa"": 2, ""fighter"": 1}]";;"{""isCapital"": true, ""type"": ""main"", ""capitalOf"": ""USA""}";none;USA;Central United States;New Brunswick Nova Scotia;Ontario (Ottawa);101;102
europe-southeastern-mexico;Southeastern Mexico;Territory;USA;0;No;;No;Europe;;;America;USA;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;
europe-central-america;Central America;Territory;USA;1;No;;No;Europe;;;America;USA;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;
europe-greenland;Greenland;Territory;USA;0;No;;No;Europe;;;America;USA;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""USA""}]";;"{""isCapital"": false, ""type"": ""none""}";none;USA;122;123
europe-albertasaskatchewanmanitoba;Alberta/Saskatchewan/Manitoba;Territory;UK (Europe);1;No;;No;Europe;;;America;UK (Europe);;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""UK (Europe)""}]";;"{""isCapital"": false, ""type"": ""none""}";none;UK (Europe);Central United States;Ontario (Ottawa);120
europe-quebec;Quebec;Territory;UK (Europe);2;No;;No;Europe;;;America;Canada;1;;;1;;;;;;;;;;;1;;;;;;"[{""nation"": ""Canada"", ""infantry"": 1, ""tank"": 1}]";;"{""isCapital"": false, ""type"": ""none""}";none;Canada;Ontario (Ottawa);Newfoundland Labrador;New Brunswick Nova Scotia
europe-newfoundland-labrador;Newfoundland Labrador;Territory;UK (Europe);0;No;;No;Europe;;;America;UK (Europe);;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""UK (Europe)""}]";;"{""isCapital"": false, ""type"": ""none""}";none;UK (Europe);Quebec;New Brunswick Nova Scotia;119;120
europe-new-brunswick-nova-scotia;New Brunswick Nova Scotia;Territory;UK (Europe);1;No;;No;Europe;;;America;Canada;;;;;;;;;;;;;;;;;;1;;;"[{""nation"": ""Canada""}]";;"{""isCapital"": false, ""type"": ""none""}";none;Canada;Quebec;Newfoundland Labrador;Eastern United States (Washington);101
europe-ontario-ottawa;Ontario (Ottawa);Territory;UK (Europe);2;Yes;;Yes;Europe;;;America;Canada;1;1;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Canada"", ""infantry"": 1, ""artillery"": 1}]";;"{""isCapital"": true, ""type"": ""regional""}";none;Canada;Eastern United States (Washington);Central United States;Quebec;Alberta/Saskatchewan/Manitoba
europe-colombia;Colombia;Territory;Neutral;0;No;;No;Europe;;0;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-venezuela;Venezuela;Territory;Neutral;2;No;;No;Europe;;2;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-british-guiana;British Guiana;Territory;UK (Europe);0;No;;No;Europe;;0;South Amerika;UK (Europe);;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""UK (Europe)""}]";;"{""isCapital"": false, ""type"": ""none""}";none;UK (Europe);
europe-suriname;Suriname;Territory;Dutch;0;No;;No;Europe;;0;South Amerika;Dutch;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Dutch""}]";;"{""isCapital"": false, ""type"": ""none""}";none;Dutch;
europe-french-guiana;French Guiana;Territory;France;0;No;;No;Europe;;0;South Amerika;France;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""French""}]";;"{""isCapital"": false, ""type"": ""none""}";none;France;
europe-ecuador;Ecuador;Territory;Neutral;0;No;;No;Europe;;0;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-peru;Peru;Territory;Neutral;0;No;;No;Europe;;0;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-brazil;Brazil;Territory;Neutral;2;No;;No;Europe;;3;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-bolivia;Bolivia;Territory;Neutral;0;No;;No;Europe;;0;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-paraguay;Paraguay;Territory;Neutral;0;No;;No;Europe;;0;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-chile;Chile;Territory;Neutral;2;No;;No;Europe;;2;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-argentina;Argentina;Territory;Neutral;2;No;;No;Europe;;4;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
europe-uruguay;Uruguay;Territory;Neutral;0;No;;No;Europe;;0;South Amerika;Neutral;;;;;;;;;;;;;;;;;;;;;"[{""nation"": ""Neutral""}]";;"{""isCapital"": false, ""type"": ""none""}";other;Neutral;
